player_id,first_name,last_name,name_x,last_season_x,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url_x,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,club_id,club_code,name_y,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season_y,filename,url_y
22415,,Fábio,Fábio,2025,2462,fabio,Brazil,Nobres,Brazil,1980-09-30 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-12-31 00:00:00,FMAGE SA,https://img.a.transfermarkt.technology/portrait/header/22415-1752661918.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/fabio/profil/spieler/22415,BRA1,Fluminense Football Club,75000.0,3500000.0,2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
29091,,Nenê,Nenê,2024,10492,nene,Brazil,Jundiaí,Brazil,1981-07-19 00:00:00,Attacking Midfield,Midfield,left,181.0,,Gilvan Costa ,https://img.a.transfermarkt.technology/portrait/header/29091-1724955986.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/nene/profil/spieler/29091,BRA1,Esporte Clube Juventude,200000.0,14000000.0,10492,esporte-clube-juventude,Esporte Clube Juventude,BRA1,,29,28.3,3,10.3,0,Estádio Alfredo Jaconi,23726,+€1.13m,Roger Machado,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-juventude/startseite/verein/10492
29241,Thiago,Silva,Thiago Silva,2025,2462,thiago-silva,Brazil,Rio de Janeiro,Brazil,1984-09-22 00:00:00,Centre-Back,Defender,right,181.0,2026-12-31 00:00:00,Paulo Tonietto,https://img.a.transfermarkt.technology/portrait/header/29241-1661856081.jpg?lm=1,113.0,7.0,,https://www.transfermarkt.co.uk/thiago-silva/profil/spieler/29241,BRA1,Fluminense Football Club,500000.0,40000000.0,2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
37647,Dimitri,Payet,Dimitri Payet,2024,978,dimitri-payet,Réunion,Saint-Pierre,France,1987-03-29 00:00:00,Attacking Midfield,Midfield,right,175.0,,J.Gomes Avocat,https://img.a.transfermarkt.technology/portrait/header/37647-1617979644.jpg?lm=1,38.0,8.0,,https://www.transfermarkt.co.uk/dimitri-payet/profil/spieler/37647,BRA1,Club de Regatas Vasco da Gama,1800000.0,30000000.0,978,vasco-da-gama-rio-de-janeiro,Club de Regatas Vasco da Gama,BRA1,,32,26.1,10,31.3,5,Estádio São Januário,24584,+€23.85m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/vasco-da-gama-rio-de-janeiro/startseite/verein/978
45319,Gabriel,Mercado,Gabriel Mercado,2025,6600,gabriel-mercado,Argentina,Puerto Madryn,Argentina,1987-03-18 00:00:00,Centre-Back,Defender,right,180.0,2026-12-31 00:00:00,Hernan Berman,https://img.a.transfermarkt.technology/portrait/header/45319-1418827134.jpg?lm=1,24.0,4.0,,https://www.transfermarkt.co.uk/gabriel-mercado/profil/spieler/45319,BRA1,Sport Club Internacional,100000.0,6000000.0,6600,sc-internacional-porto-alegre,Sport Club Internacional,BRA1,,32,26.7,9,28.1,3,Estádio Beira-Rio,50848,+€41.39m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sc-internacional-porto-alegre/startseite/verein/6600
46741,,David Luiz,David Luiz,2024,10870,david-luiz,Brazil,Diadema,Brazil,1987-04-22 00:00:00,Centre-Back,Defender,right,189.0,2027-05-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/46741-1758220529.jpg?lm=1,57.0,3.0,,https://www.transfermarkt.co.uk/david-luiz/profil/spieler/46741,BRA1,Fortaleza Esporte Clube,500000.0,30000000.0,10870,fortaleza-esporte-clube,Fortaleza Esporte Clube,BRA1,,29,27.1,5,17.2,0,Estádio Governador Plácido Castelo,63904,+€6.25m,Juan Pablo Vojvoda,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fortaleza-esporte-clube/startseite/verein/10870
47592,,Fagner,Fagner,2025,609,fagner,Brazil,São Paulo,Brazil,1989-06-11 00:00:00,Right-Back,Defender,right,168.0,2026-12-31 00:00:00,Carlos Leite,https://img.a.transfermarkt.technology/portrait/header/47592-1512665647.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/fagner/profil/spieler/47592,BRA1,Cruzeiro Esporte Clube,200000.0,7000000.0,609,ec-cruzeiro-belo-horizonte,Cruzeiro Esporte Clube,BRA1,,30,26.8,7,23.3,3,Estádio Governador Magalhães Pinto,61927,€-36.26m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/ec-cruzeiro-belo-horizonte/startseite/verein/609
50144,,Cássio,Cássio,2025,609,cassio,Brazil,Veranópolis,Brazil,1987-06-06 00:00:00,Goalkeeper,Goalkeeper,left,196.0,2027-05-31 00:00:00,Carlos Leite,https://img.a.transfermarkt.technology/portrait/header/50144-1458293316.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/cassio/profil/spieler/50144,BRA1,Cruzeiro Esporte Clube,250000.0,5000000.0,609,ec-cruzeiro-belo-horizonte,Cruzeiro Esporte Clube,BRA1,,30,26.8,7,23.3,3,Estádio Governador Magalhães Pinto,61927,€-36.26m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/ec-cruzeiro-belo-horizonte/startseite/verein/609
51174,,Fernando,Fernando,2024,6600,fernando,Brazil,Brasília,Brazil,1987-07-25 00:00:00,Defensive Midfield,Midfield,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/51174-1554903963.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/fernando/profil/spieler/51174,BRA1,Sport Club Internacional,2000000.0,17500000.0,6600,sc-internacional-porto-alegre,Sport Club Internacional,BRA1,,32,26.7,9,28.1,3,Estádio Beira-Rio,50848,+€41.39m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sc-internacional-porto-alegre/startseite/verein/6600
52769,,Willian,Willian,2025,210,willian,Brazil,Ribeirão Pires,Brazil,1988-08-09 00:00:00,Left Winger,Attack,right,175.0,2026-12-31 00:00:00,Sports Invest UK ltd,https://img.a.transfermarkt.technology/portrait/header/52769-1740646449.jpg?lm=1,70.0,9.0,,https://www.transfermarkt.co.uk/willian/profil/spieler/52769,BRA1,Grêmio Foot-Ball Porto Alegrense,400000.0,50000000.0,210,gremio-porto-alegre,Grêmio Foot-Ball Porto Alegrense,BRA1,,34,26.5,11,32.4,3,Arena do Grêmio,60540,€-6.38m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gremio-porto-alegre/startseite/verein/210
52896,,Everton Ribeiro,Everton Ribeiro,2025,10010,everton-ribeiro,Brazil,Arujá,Brazil,1989-04-10 00:00:00,Attacking Midfield,Midfield,left,174.0,2026-12-31 00:00:00,Brazil Football,https://img.a.transfermarkt.technology/portrait/header/52896-1610006872.jpg?lm=1,22.0,3.0,,https://www.transfermarkt.co.uk/everton-ribeiro/profil/spieler/52896,BRA1,Esporte Clube Bahia,1000000.0,17000000.0,10010,esporte-clube-bahia,Esporte Clube Bahia,BRA1,,32,26.6,9,28.1,3,Arena Fonte Nova,47364,+€8.14m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-bahia/startseite/verein/10010
53015,,Marcelo Lomba,Marcelo Lomba,2025,1023,marcelo-lomba,Brazil,Rio de Janeiro,Brazil,1986-12-18 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2026-12-31 00:00:00,Brazil Soccer,https://img.a.transfermarkt.technology/portrait/header/53015-1523613416.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/marcelo-lomba/profil/spieler/53015,BRA1,Sociedade Esportiva Palmeiras,75000.0,3250000.0,1023,se-palmeiras-sao-paulo,Sociedade Esportiva Palmeiras,BRA1,,31,25.9,9,29.0,10,Nubank Parque,43713,+€31.54m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/se-palmeiras-sao-paulo/startseite/verein/1023
53058,Renato,Augusto,Renato Augusto,2024,2462,renato-augusto,Brazil,Rio de Janeiro,Brazil,1988-02-08 00:00:00,Central Midfield,Midfield,right,186.0,,Carlos Leite,https://img.a.transfermarkt.technology/portrait/header/53058-1509544256.jpg?lm=1,33.0,6.0,,https://www.transfermarkt.co.uk/renato-augusto/profil/spieler/53058,BRA1,Fluminense Football Club,1500000.0,15000000.0,2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
53226,,David Braz,David Braz,2024,3876,david-braz,Brazil,Guarulhos,Brazil,1987-05-21 00:00:00,Centre-Back,Defender,right,188.0,2026-11-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/53226-1571658415.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/david-braz/profil/spieler/53226,BRA1,Mirasol Futebol Clube,150000.0,3000000.0,3876,mirassol-futebol-clube-sp-,Mirasol Futebol Clube,BRA1,,32,30.1,1,3.1,0,Estádio Municipal José María de Campos Maia,14534,+€1.67m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/mirassol-futebol-clube-sp-/startseite/verein/3876
54590,Germán,Cano,Germán Cano,2025,2462,german-cano,Argentina,Posadas,Argentina,1988-01-02 00:00:00,Centre-Forward,Attack,right,176.0,2026-12-31 00:00:00,VELSPORT1,https://img.a.transfermarkt.technology/portrait/header/54590-1751718057.jpg?lm=1,,,,https://www.transfermarkt.co.uk/german-cano/profil/spieler/54590,BRA1,Fluminense Football Club,500000.0,3300000.0,2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
55250,,Titi,Titi,2024,10870,titi,Brazil,Pelotas,Brazil,1988-03-12 00:00:00,Centre-Back,Defender,left,188.0,2026-11-30 00:00:00,Lipatin Sports,https://img.a.transfermarkt.technology/portrait/header/55250-1615775454.jpeg?lm=1,,,,https://www.transfermarkt.co.uk/titi/profil/spieler/55250,BRA1,Fortaleza Esporte Clube,200000.0,2300000.0,10870,fortaleza-esporte-clube,Fortaleza Esporte Clube,BRA1,,29,27.1,5,17.2,0,Estádio Governador Plácido Castelo,63904,+€6.25m,Juan Pablo Vojvoda,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fortaleza-esporte-clube/startseite/verein/10870
67144,,Léo Vieira,Léo Vieira,2025,10010,leo-vieira,Brazil,Suzano,Brazil,1990-09-22 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-12-31 00:00:00,Brasoccer Sports,https://img.a.transfermarkt.technology/portrait/header/67144-1634133119.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/leo-vieira/profil/spieler/67144,BRA1,Esporte Clube Bahia,200000.0,200000.0,10010,esporte-clube-bahia,Esporte Clube Bahia,BRA1,,32,26.6,9,28.1,3,Arena Fonte Nova,47364,+€8.14m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-bahia/startseite/verein/10010
67920,,Ganso,Ganso,2025,2462,ganso,Brazil,Ananindeua,Brazil,1989-10-12 00:00:00,Attacking Midfield,Midfield,left,184.0,2026-12-31 00:00:00,FWD Team,https://img.a.transfermarkt.technology/portrait/header/67920-1751718526.jpg?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/ganso/profil/spieler/67920,BRA1,Fluminense Football Club,300000.0,18000000.0,2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
68097,,Rafael,Rafael,2025,585,rafael,Brazil,Coronel Fabriciano,Brazil,1989-06-23 00:00:00,Goalkeeper,Goalkeeper,left,192.0,2027-12-31 00:00:00,FMS Gestao Esportiva,https://img.a.transfermarkt.technology/portrait/header/68097-1755221835.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/rafael/profil/spieler/68097,BRA1,São Paulo Futebol Clube,400000.0,1250000.0,585,fc-sao-paulo,São Paulo Futebol Clube,BRA1,,42,26.4,9,21.4,3,MorumBIS,72039,+€24.69m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sao-paulo/startseite/verein/585
68290,,Neymar,Neymar,2025,221,neymar,Brazil,Mogi das Cruzes,Brazil,1992-02-05 00:00:00,Attacking Midfield,Midfield,right,175.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/68290-1692601435.jpg?lm=1,130.0,80.0,,https://www.transfermarkt.co.uk/neymar/profil/spieler/68290,BRA1,Santos Futebol Clube,8000000.0,180000000.0,221,fc-santos,Santos Futebol Clube,BRA1,,37,26.7,9,24.3,4,Estádio Urbano Caldeira,16068,+€7.21m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-santos/startseite/verein/221
69400,,Weverton,Weverton,2025,210,weverton,Brazil,Rio Branco,Brazil,1987-12-13 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2028-12-31 00:00:00,OTB Sports,https://img.a.transfermarkt.technology/portrait/header/69400-1751657170.jpg?lm=1,11.0,0.0,3439.0,https://www.transfermarkt.co.uk/weverton/profil/spieler/69400,BRA1,Grêmio Foot-Ball Porto Alegrense,700000.0,6000000.0,210,gremio-porto-alegre,Grêmio Foot-Ball Porto Alegrense,BRA1,,34,26.5,11,32.4,3,Arena do Grêmio,60540,€-6.38m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gremio-porto-alegre/startseite/verein/210
72441,Rafael,Tolói,Rafael Tolói,2025,585,rafael-toloi,Brazil,Glória D'Oeste,Italy,1990-10-10 00:00:00,Centre-Back,Defender,right,185.0,2026-12-31 00:00:00,Madeira Sports,https://img.a.transfermarkt.technology/portrait/header/72441-1663583172.jpg?lm=1,14.0,0.0,,https://www.transfermarkt.co.uk/rafael-toloi/profil/spieler/72441,BRA1,São Paulo Futebol Clube,800000.0,16000000.0,585,fc-sao-paulo,São Paulo Futebol Clube,BRA1,,42,26.4,9,21.4,3,MorumBIS,72039,+€24.69m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sao-paulo/startseite/verein/585
73741,,Souza,Souza,2024,978,souza,Brazil,Rio de Janeiro,Brazil,1989-02-11 00:00:00,Defensive Midfield,Midfield,right,188.0,,Carlos Leite,https://img.a.transfermarkt.technology/portrait/header/73741-1712671488.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/souza/profil/spieler/73741,BRA1,Club de Regatas Vasco da Gama,325000.0,12500000.0,978,vasco-da-gama-rio-de-janeiro,Club de Regatas Vasco da Gama,BRA1,,32,26.1,10,31.3,5,Estádio São Januário,24584,+€23.85m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/vasco-da-gama-rio-de-janeiro/startseite/verein/978
74758,,Marinho,Marinho,2025,2125,marinho,Brazil,Penedo,Brazil,1990-05-29 00:00:00,Right Winger,Attack,left,169.0,2026-12-31 00:00:00,Lipatin Sports,https://img.a.transfermarkt.technology/portrait/header/74758-1729175331.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marinho/profil/spieler/74758,BRA1,Esporte Clube Vitória,200000.0,4000000.0,2125,esporte-clube-vitoria,Esporte Clube Vitória,BRA1,,39,28.3,7,17.9,0,Estádio Manoel Barradas,30793,+€1.36m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-vitoria/startseite/verein/2125
75080,Alan,Ruschel,Alan Ruschel,2024,10492,alan-ruschel,Brazil,Taquara,Brazil,1989-08-23 00:00:00,Left-Back,Defender,left,176.0,2026-12-31 00:00:00,LINK SPORTS,https://img.a.transfermarkt.technology/portrait/header/75080-1623674737.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alan-ruschel/profil/spieler/75080,BRA1,Esporte Clube Juventude,,,10492,esporte-clube-juventude,Esporte Clube Juventude,BRA1,,29,28.3,3,10.3,0,Estádio Alfredo Jaconi,23726,+€1.13m,Roger Machado,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-juventude/startseite/verein/10492
