player_id,first_name,last_name,player_name,current_club_id,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,international_caps,international_goals,current_national_team_id,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,stats_player_name,stats_position,stats_club,minutes_played,goals,assists,xG,xAG,progressive_passes,progressive_carries,dribbles_attempted,dribbles_successful,shot_creating_actions,goal_creating_actions,tackles,blocks,yellow_cards_stats,red_cards_stats,position_group,goals_per90,assists_per90,xG_per90,xAG_per90,progressive_passes_per90,progressive_carries_per90,dribbles_successful_per90,shot_creating_actions_per90,goal_creating_actions_per90,tackles_per90,blocks_per90,goals_percentile,assists_percentile,xG_percentile,xAG_percentile,progressive_passes_percentile,progressive_carries_percentile,dribbles_successful_percentile,shot_creating_actions_percentile,goal_creating_actions_percentile,tackles_percentile,blocks_percentile,goals_per90_percentile,assists_per90_percentile,xG_per90_percentile,xAG_per90_percentile,progressive_passes_per90_percentile,progressive_carries_per90_percentile,dribbles_successful_per90_percentile,shot_creating_actions_per90_percentile,goal_creating_actions_per90_percentile,tackles_per90_percentile,blocks_per90_percentile,performance_score,age,market_value_in_eur_percentile,age_percentile,moneyball_score,cluster
29241,Thiago,Silva,Thiago Silva,2462,Brazil,Rio de Janeiro,Brazil,1984-09-22,Centre-Back,Defender,right,181.0,2026-12-31 00:00:00,113.0,7.0,,BRA1,Fluminense Football Club,500000.0,40000000.0,Thiago Silva,CB,Fluminense,1260.0,0.0,0.0,0.5,0.7000000000000001,34.0,2.0,0.0,0.0,13.0,0.0,13.0,10.0,2.0,0.0,Centre-Back,0.0,0.0,0.0357142857142857,0.05,2.428571428571429,0.1428571428571428,0.0,0.9285714285714286,0.0,0.9285714285714286,0.7142857142857142,0.2625,0.35,0.35,0.75,0.175,0.1625,0.0625,0.4375,0.1625,0.1,0.1125,0.2625,0.35,0.425,0.8,0.35,0.125,0.0625,0.65,0.1625,0.1,0.15,0.2,40,0.2272727272727272,1.0,0.3131818181818182,1
45319,Gabriel,Mercado,Gabriel Mercado,6600,Argentina,Puerto Madryn,Argentina,1987-03-18,Centre-Back,Defender,right,180.0,2026-12-31 00:00:00,24.0,4.0,,BRA1,Sport Club Internacional,100000.0,6000000.0,Gabriel Mercado,CB,Internacional,1186.0,1.0,0.0,0.3,0.6,32.0,2.0,3.0,1.0,9.0,2.0,17.0,7.0,6.0,0.0,Centre-Back,0.0758853288364249,0.0,0.0227655986509274,0.0455311973018549,2.4283305227655987,0.1517706576728499,0.0758853288364249,0.6829679595278246,0.1517706576728499,1.2900505902192243,0.5311973018549747,0.675,0.35,0.2375,0.6875,0.15,0.1625,0.1875,0.225,0.6875,0.175,0.0625,0.775,0.35,0.25,0.775,0.325,0.175,0.225,0.375,0.875,0.375,0.05,0.245,37,0.0303030303030303,0.9625,0.3950492424242424,1
46741,,David Luiz,David Luiz,10870,Brazil,Diadema,Brazil,1987-04-22,Centre-Back,Defender,right,189.0,2027-05-31 00:00:00,57.0,3.0,,BRA1,Fortaleza Esporte Clube,500000.0,30000000.0,David Luiz,CB,Flamengo,1756.0,3.0,0.0,1.9,0.4,104.0,32.0,10.0,4.0,31.0,1.0,11.0,19.0,5.0,0.0,Centre-Back,0.15375854214123,0.0,0.097380410022779,0.020501138952164,5.330296127562643,1.6400911161731206,0.20501138952164,1.5888382687927107,0.05125284738041,0.5637813211845102,0.9738041002277904,0.925,0.35,0.875,0.5875,0.825,0.95,0.5625,0.8625,0.425,0.05,0.35,0.95,0.35,0.875,0.625,0.95,0.95,0.5,0.925,0.4,0.025,0.325,0.5366666666666667,37,0.2272727272727272,0.9625,0.5208068181818182,2
55250,,Titi,Titi,10870,Brazil,Pelotas,Brazil,1988-03-12,Centre-Back,Defender,left,188.0,2026-11-30 00:00:00,,,,BRA1,Fortaleza Esporte Clube,200000.0,2300000.0,Titi,CB,Fortaleza,2020.0,1.0,0.0,0.2,0.5,43.0,8.0,4.0,3.0,10.0,0.0,31.0,30.0,8.0,0.0,Centre-Back,0.0445544554455445,0.0,0.0089108910891089,0.0222772277227722,1.915841584158416,0.3564356435643564,0.1336633663366336,0.4455445544554455,0.0,1.381188118811881,1.3366336633663365,0.675,0.35,0.0875,0.6375,0.3125,0.4,0.45,0.325,0.1625,0.7125,0.7375,0.625,0.35,0.025,0.65,0.175,0.4,0.4,0.15,0.1625,0.45,0.7,0.4183333333333333,36,0.0757575757575757,0.925,0.4933106060606059,3
113586,,Manoel,Manoel,2462,Brazil,Bacabal,Brazil,1990-02-26,Centre-Back,Defender,right,181.0,,,,,BRA1,Fluminense Football Club,350000.0,5500000.0,Manoel,CB,Fluminense,1047.0,0.0,0.0,0.2,0.1,17.0,0.0,3.0,3.0,2.0,0.0,14.0,14.0,2.0,0.0,Centre-Back,0.0,0.0,0.0171919770773638,0.0085959885386819,1.4613180515759312,0.0,0.2578796561604584,0.1719197707736389,0.0,1.2034383954154728,1.2034383954154728,0.2625,0.35,0.0875,0.2875,0.025,0.025,0.45,0.025,0.1625,0.125,0.2125,0.2625,0.35,0.15,0.375,0.025,0.025,0.575,0.025,0.1625,0.275,0.55,0.2316666666666666,34,0.1363636363636363,0.9,0.3699090909090909,3
139867,Robert,Arboleda,Robert Arboleda,585,Ecuador,Esmeraldas,Ecuador,1991-10-22,Centre-Back,Defender,right,189.0,2027-12-31 00:00:00,39.0,2.0,,BRA1,São Paulo Futebol Clube,400000.0,2500000.0,Robert Arboleda,CB,São Paulo,2256.0,2.0,0.0,1.2000000000000002,0.5,45.0,2.0,0.0,0.0,19.0,3.0,31.0,28.0,3.0,0.0,Centre-Back,0.0797872340425532,0.0,0.0478723404255319,0.0199468085106383,1.7952127659574468,0.0797872340425532,0.0,0.7579787234042553,0.1196808510638297,1.2367021276595744,1.1170212765957448,0.8625,0.35,0.7375,0.6375,0.45,0.1625,0.0625,0.625,0.8875,0.7125,0.6875,0.8,0.35,0.575,0.6,0.1,0.075,0.0625,0.475,0.8,0.35,0.375,0.2366666666666666,33,0.1818181818181818,0.85,0.3690454545454545,1
145400,Walter,Kannemann,Walter Kannemann,210,Argentina,Concepción del Uruguay,Argentina,1991-03-14,Centre-Back,Defender,left,184.0,2027-12-31 00:00:00,6.0,0.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,350000.0,6000000.0,Walter Kannemann,CB,Grêmio,1000.0,0.0,2.0,0.6000000000000001,0.8,21.0,2.0,6.0,6.0,8.0,2.0,18.0,16.0,6.0,1.0,Centre-Back,0.0,0.18,0.054,0.072,1.89,0.18,0.54,0.72,0.18,1.62,1.44,0.2625,0.95,0.425,0.7875,0.075,0.1625,0.6875,0.175,0.6875,0.2125,0.275,0.2625,1.0,0.675,0.925,0.15,0.225,0.9,0.425,0.9,0.725,0.75,0.4733333333333334,33,0.1363636363636363,0.85,0.5224090909090909,0
169179,Alan,Empereur,Alan Empereur,3876,Brazil,Ipatinga,Brazil,1994-03-10,Centre-Back,Defender,left,186.0,2026-12-31 00:00:00,,,,BRA1,Mirasol Futebol Clube,750000.0,1000000.0,Alan Empereur,CB,Cuiabá,2548.0,0.0,0.0,0.5,1.1,96.0,18.0,7.0,4.0,31.0,1.0,20.0,20.0,9.0,0.0,Centre-Back,0.0,0.0,0.0176609105180533,0.0388540031397174,3.390894819466248,0.6357927786499216,0.141287284144427,1.0949764521193093,0.0353218210361067,0.706436420722135,0.706436420722135,0.2625,0.35,0.35,0.85,0.8,0.8125,0.5625,0.8625,0.425,0.2875,0.3875,0.2625,0.35,0.175,0.725,0.65,0.675,0.425,0.775,0.35,0.075,0.125,0.36,30,0.303030303030303,0.625,0.4464924242424243,2
175792,,André Ramalho,André Ramalho,199,Brazil,Ibiúna,Brazil,1992-02-16,Centre-Back,Defender,both,182.0,2026-12-31 00:00:00,,,,BRA1,Sport Club Corinthians Paulista,800000.0,4500000.0,André Ramalho,CB,Corinthians,1482.0,0.0,1.0,0.2,0.3,53.0,10.0,6.0,5.0,15.0,4.0,24.0,20.0,5.0,1.0,Centre-Back,0.0,0.0607287449392712,0.0121457489878542,0.0182186234817813,3.218623481781376,0.6072874493927126,0.3036437246963563,0.9109311740890688,0.242914979757085,1.45748987854251,1.2145748987854252,0.2625,0.7875,0.0875,0.5375,0.5625,0.5375,0.6375,0.5375,0.9625,0.4375,0.3875,0.2625,0.8,0.075,0.5,0.625,0.625,0.675,0.6,0.975,0.575,0.575,0.5983333333333333,32,0.3333333333333333,0.7625,0.5612916666666666,0
176140,Rodrigo,Ely,Rodrigo Ely,210,Brazil,Lajeado,Brazil,1993-11-03,Centre-Back,Defender,right,188.0,2028-06-30 00:00:00,3.0,0.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,3000000.0,6000000.0,Rodrigo Ely,CB,Grêmio,1569.0,1.0,0.0,0.9,0.2,36.0,3.0,5.0,4.0,10.0,0.0,37.0,32.0,5.0,0.0,Centre-Back,0.0573613766730401,0.0,0.0516252390057361,0.011472275334608,2.0650095602294454,0.1720841300191204,0.2294455066921606,0.5736137667304015,0.0,2.122370936902485,1.8355640535372848,0.675,0.35,0.5625,0.425,0.2,0.25,0.5625,0.325,0.1625,0.85,0.775,0.7,0.35,0.65,0.4,0.25,0.2,0.525,0.275,0.1625,0.95,0.925,0.61,31,0.6666666666666666,0.675,0.4980833333333334,3
