player_id,first_name,last_name,player_name,current_club_id,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,international_caps,international_goals,current_national_team_id,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,stats_player_name,stats_position,stats_club,minutes_played,goals,assists,xG,xAG,progressive_passes,progressive_carries,dribbles_attempted,dribbles_successful,shot_creating_actions,goal_creating_actions,tackles,blocks,yellow_cards_stats,red_cards_stats
22415,,Fábio,Fábio,2462,Brazil,Nobres,Brazil,1980-09-30 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-12-31 00:00:00,0.0,0.0,,BRA1,Fluminense Football Club,75000.0,3500000.0,Fábio,GK,Fluminense,3519.0,0.0,0.0,0.3,0.2,13.0,11.0,6.0,3.0,14.0,1.0,8.0,4.0,4.0,0.0
29091,,Nenê,Nenê,10492,Brazil,Jundiaí,Brazil,1981-07-19 00:00:00,Attacking Midfield,Midfield,left,181.0,,4.0,1.0,,BRA1,Esporte Clube Juventude,200000.0,14000000.0,Nenê,LM,Juventude,1506.0,3.0,4.0,1.6,4.3,73.0,23.0,26.0,12.0,75.0,4.0,10.0,8.0,5.0,1.0
29241,Thiago,Silva,Thiago Silva,2462,Brazil,Rio de Janeiro,Brazil,1984-09-22 00:00:00,Centre-Back,Defender,right,181.0,2026-12-31 00:00:00,113.0,7.0,,BRA1,Fluminense Football Club,500000.0,40000000.0,Thiago Silva,CB,Fluminense,1260.0,0.0,0.0,0.5,0.7000000000000001,34.0,2.0,0.0,0.0,13.0,0.0,13.0,10.0,2.0,0.0
37647,Dimitri,Payet,Dimitri Payet,978,Réunion,Saint-Pierre,France,1987-03-29 00:00:00,Attacking Midfield,Midfield,right,175.0,,38.0,8.0,,BRA1,Club de Regatas Vasco da Gama,1800000.0,30000000.0,Dimitri Payet,AM,Vasco da Gama,1220.0,3.0,3.0,1.7000000000000002,2.5,101.0,24.0,29.0,17.0,61.0,9.0,12.0,2.0,2.0,0.0
45319,Gabriel,Mercado,Gabriel Mercado,6600,Argentina,Puerto Madryn,Argentina,1987-03-18 00:00:00,Centre-Back,Defender,right,180.0,2026-12-31 00:00:00,24.0,4.0,,BRA1,Sport Club Internacional,100000.0,6000000.0,Gabriel Mercado,CB,Internacional,1186.0,1.0,0.0,0.3,0.6,32.0,2.0,3.0,1.0,9.0,2.0,17.0,7.0,6.0,0.0
46741,,David Luiz,David Luiz,10870,Brazil,Diadema,Brazil,1987-04-22 00:00:00,Centre-Back,Defender,right,189.0,2027-05-31 00:00:00,57.0,3.0,,BRA1,Fortaleza Esporte Clube,500000.0,30000000.0,David Luiz,CB,Flamengo,1756.0,3.0,0.0,1.9,0.4,104.0,32.0,10.0,4.0,31.0,1.0,11.0,19.0,5.0,0.0
47592,,Fagner,Fagner,609,Brazil,São Paulo,Brazil,1989-06-11 00:00:00,Right-Back,Defender,right,168.0,2026-12-31 00:00:00,10.0,0.0,,BRA1,Cruzeiro Esporte Clube,200000.0,7000000.0,Fagner,RB,Corinthians,913.0,0.0,1.0,0.1,2.2,39.0,14.0,6.0,4.0,32.0,5.0,23.0,8.0,4.0,1.0
50144,,Cássio,Cássio,609,Brazil,Veranópolis,Brazil,1987-06-06 00:00:00,Goalkeeper,Goalkeeper,left,196.0,2027-05-31 00:00:00,1.0,0.0,,BRA1,Cruzeiro Esporte Clube,250000.0,5000000.0,Cássio,GK,Corinthians,2160.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0
51174,,Fernando,Fernando,6600,Brazil,Brasília,Brazil,1987-07-25 00:00:00,Defensive Midfield,Midfield,right,183.0,,3.0,0.0,,BRA1,Sport Club Internacional,2000000.0,17500000.0,,,,,,,,,,,,,,,,,,
52769,,Willian,Willian,210,Brazil,Ribeirão Pires,Brazil,1988-08-09 00:00:00,Left Winger,Attack,right,175.0,2026-12-31 00:00:00,70.0,9.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,400000.0,50000000.0,Willian,CM,Vitória,2649.0,5.0,1.0,4.0,1.3,102.0,11.0,20.0,4.0,67.0,9.0,51.0,35.0,8.0,0.0
